iter	MultiClass
0	2.063921214
1	2.049724493
2	2.034863359
3	2.022656017
4	2.006609718
5	1.993018867
6	1.976537018
7	1.965510964
8	1.952845825
9	1.940249675
10	1.925558391
11	1.913696579
12	1.901781739
13	1.888484491
14	1.876908594
15	1.862476445
16	1.852865576
17	1.84267014
18	1.832951578
19	1.82265889
20	1.812351403
21	1.801757292
22	1.790515834
23	1.78024449
24	1.770298452
25	1.762118124
26	1.752794678
27	1.743982651
28	1.735522216
29	1.72558191
30	1.716794116
31	1.708498387
32	1.700258775
33	1.691770335
34	1.681568772
35	1.672871457
36	1.665601974
37	1.658442142
38	1.650822159
39	1.643663373
40	1.637041637
41	1.629524679
42	1.621684608
43	1.614046481
44	1.607525642
45	1.600472291
46	1.593788844
47	1.587023694
48	1.580787327
49	1.575203933
50	1.569089317
51	1.562811555
52	1.556640891
53	1.549950272
54	1.544686542
55	1.538089068
56	1.531665127
57	1.525227022
58	1.51828873
59	1.512388864
60	1.506803438
61	1.500449024
62	1.494932603
63	1.488744594
64	1.483182942
65	1.478522275
66	1.473691092
67	1.467192356
68	1.46215348
69	1.455873747
70	1.451001402
71	1.445192453
72	1.440892806
73	1.436647174
74	1.432011601
75	1.42664121
76	1.42164229
77	1.417931372
78	1.413227394
79	1.408827954
80	1.404502804
81	1.399396977
82	1.395111212
83	1.390380791
84	1.385372101
85	1.380730452
86	1.376363918
87	1.37156613
88	1.367482362
89	1.362741456
90	1.359013392
91	1.354780169
92	1.351326221
93	1.347827041
94	1.344372821
95	1.340835062
96	1.33701261
97	1.333568766
98	1.329474719
99	1.325748994
100	1.322113685
101	1.318748126
102	1.315050038
103	1.311324298
104	1.307518184
105	1.304195808
106	1.301051417
107	1.297687064
108	1.294538216
109	1.291477835
110	1.288209811
111	1.285449759
112	1.282525705
113	1.279504494
114	1.276692254
115	1.273604953
116	1.270790388
117	1.267958763
118	1.264254635
119	1.26177996
120	1.258922073
121	1.256277103
122	1.253030351
123	1.249891839
124	1.246610537
125	1.243734034
126	1.240877335
127	1.237722706
128	1.235261249
129	1.232422442
130	1.229716701
131	1.226928923
132	1.224415009
133	1.221809337
134	1.219040004
135	1.21670138
136	1.213234541
137	1.210669131
138	1.208021068
139	1.205106761
140	1.202135479
141	1.199828948
