iter	Passed	Remaining
0	78	58572
1	118	43992
2	154	38377
3	187	34845
4	221	32763
5	245	30218
6	273	28907
7	301	27810
8	331	27172
9	357	26326
10	387	25881
11	415	25390
12	442	24977
13	471	24650
14	500	24396
15	530	24210
16	558	23929
17	585	23684
18	615	23532
19	648	23524
20	671	23196
21	700	23046
22	725	22812
23	755	22738
24	782	22580
25	814	22562
26	845	22503
27	871	22356
28	899	22239
29	925	22084
30	950	21913
31	982	21916
32	1009	21819
33	1038	21738
34	1067	21685
35	1091	21527
36	1117	21409
37	1146	21353
38	1173	21272
39	1200	21191
40	1227	21110
41	1255	21051
42	1284	20999
43	1311	20920
44	1340	20888
45	1367	20806
46	1394	20732
47	1421	20668
48	1449	20625
49	1478	20582
50	1508	20551
51	1534	20483
52	1563	20444
53	1586	20330
54	1617	20316
55	1645	20273
56	1673	20233
57	1704	20213
58	1731	20165
59	1759	20119
60	1788	20084
61	1816	20040
62	1844	20001
63	1871	19946
64	1898	19885
65	1927	19858
66	1957	19833
67	1985	19798
68	2014	19762
69	2041	19718
70	2070	19680
71	2099	19656
72	2127	19613
73	2155	19571
74	2186	19559
75	2216	19538
76	2244	19503
77	2276	19494
78	2306	19470
79	2334	19431
80	2362	19396
81	2390	19358
82	2418	19319
83	2444	19267
84	2474	19244
85	2502	19206
86	2530	19166
87	2557	19126
88	2586	19094
89	2615	19064
90	2641	19014
91	2669	18976
92	2696	18936
93	2723	18890
94	2752	18863
95	2779	18816
96	2803	18760
97	2831	18720
98	2860	18692
99	2887	18654
100	2914	18613
101	2943	18586
102	2970	18541
103	2998	18507
104	3025	18470
105	3052	18431
106	3077	18376
107	3103	18334
108	3130	18294
109	3160	18275
110	3188	18240
111	3220	18227
112	3249	18202
113	3278	18173
114	3306	18140
115	3331	18092
116	3361	18070
117	3386	18023
118	3412	17980
119	3438	17939
120	3465	17899
121	3493	17866
122	3521	17836
123	3548	17800
124	3575	17763
125	3601	17722
126	3628	17686
127	3657	17656
128	3689	17648
129	3720	17629
130	3747	17593
131	3775	17561
132	3801	17522
133	3829	17488
134	3855	17450
135	3888	17439
136	3917	17415
137	3950	17403
138	3979	17376
139	4006	17341
140	4035	17315
141	4061	17277
142	4090	17247
143	4119	17220
144	4144	17177
145	4172	17149
146	4201	17119
147	4234	17109
148	4263	17083
149	4292	17055
150	4321	17027
151	4349	16997
152	4377	16967
153	4404	16930
154	4436	16917
155	4470	16909
156	4498	16875
157	4528	16851
158	4557	16826
159	4585	16793
160	4611	16757
161	4640	16728
162	4667	16693
163	4693	16654
164	4719	16618
165	4750	16596
166	4779	16571
167	4808	16542
168	4839	16523
169	4865	16484
170	4894	16457
171	4923	16429
172	4949	16393
173	4975	16355
174	5003	16324
175	5030	16292
176	5055	16251
177	5085	16227
178	5112	16194
179	5139	16160
180	5165	16125
181	5187	16077
182	5214	16042
183	5243	16016
184	5270	15981
185	5297	15950
186	5322	15911
187	5349	15877
188	5374	15840
189	5400	15802
190	5427	15769
191	5453	15735
192	5479	15701
193	5505	15663
194	5531	15628
195	5558	15597
196	5585	15565
197	5613	15535
198	5638	15498
199	5663	15462
200	5690	15428
201	5715	15391
202	5741	15357
203	5767	15322
204	5791	15283
205	5817	15248
206	5843	15216
207	5868	15178
208	5894	15145
209	5920	15110
210	5944	15072
211	5971	15040
212	5998	15009
213	6024	14975
214	6049	14940
215	6076	14910
216	6103	14878
217	6127	14841
218	6153	14806
219	6178	14771
220	6204	14739
221	6230	14706
222	6257	14674
223	6282	14639
224	6307	14604
225	6332	14570
226	6358	14537
227	6384	14504
228	6411	14474
229	6437	14443
230	6466	14416
231	6493	14386
232	6519	14355
233	6545	14320
234	6572	14291
235	6601	14265
236	6627	14232
237	6656	14208
238	6684	14179
239	6711	14150
240	6743	14130
241	6774	14108
242	6802	14081
243	6832	14057
244	6862	14033
245	6894	14012
246	6923	13987
247	6949	13954
248	6975	13922
249	7005	13898
250	7036	13875
251	7063	13846
252	7092	13820
253	7121	13793
254	7150	13767
255	7179	13741
256	7208	13716
257	7237	13689
258	7260	13651
259	7286	13619
260	7312	13588
261	7337	13554
262	7363	13523
263	7388	13490
264	7418	13464
265	7446	13437
266	7471	13403
267	7499	13375
268	7527	13347
269	7553	13316
270	7582	13290
271	7611	13264
272	7639	13236
273	7666	13206
274	7693	13176
275	7717	13141
276	7741	13107
277	7764	13071
278	7793	13044
279	7822	13018
280	7850	12991
281	7874	12956
282	7901	12926
283	7924	12890
284	7949	12858
285	7973	12824
286	8001	12796
287	8031	12771
288	8058	12743
289	8087	12716
290	8113	12686
291	8141	12657
292	8169	12629
293	8195	12599
294	8224	12573
295	8249	12541
296	8276	12512
297	8299	12476
298	8323	12443
299	8349	12413
300	8377	12385
301	8405	12357
302	8431	12327
303	8458	12297
304	8485	12269
305	8511	12239
306	8537	12208
307	8567	12183
308	8593	12153
309	8619	12123
310	8645	12092
311	8671	12062
312	8697	12032
313	8723	12001
314	8747	11969
315	8775	11941
316	8798	11907
317	8825	11877
318	8854	11851
319	8881	11823
320	8908	11794
321	8935	11766
322	8960	11735
323	8985	11703
324	9012	11675
325	9042	11650
326	9070	11622
327	9096	11592
328	9122	11562
329	9151	11536
330	9178	11507
331	9206	11480
332	9232	11450
333	9257	11419
334	9284	11390
335	9310	11360
336	9337	11332
337	9360	11299
338	9384	11266
339	9408	11234
340	9432	11202
341	9455	11169
342	9481	11139
343	9505	11108
344	9532	11079
345	9558	11050
346	9584	11020
347	9611	10991
348	9640	10966
349	9667	10938
350	9697	10913
351	9728	10889
352	9757	10862
353	9784	10835
354	9811	10806
355	9843	10784
356	9868	10753
357	9893	10722
358	9916	10690
359	9942	10660
360	9970	10632
361	9999	10606
362	10025	10577
363	10052	10549
364	10076	10518
365	10101	10487
366	10126	10457
367	10151	10427
368	10177	10397
369	10203	10369
370	10226	10337
371	10250	10305
372	10276	10276
373	10302	10247
374	10326	10215
375	10348	10183
376	10372	10152
377	10396	10121
378	10426	10096
379	10453	10068
380	10478	10038
381	10505	10010
382	10532	9982
383	10562	9956
384	10592	9932
385	10622	9907
386	10650	9879
387	10678	9852
388	10707	9826
389	10735	9799
390	10759	9769
391	10785	9739
392	10811	9711
393	10836	9681
394	10861	9651
395	10889	9624
396	10915	9595
397	10942	9567
398	10969	9539
399	10994	9510
400	11019	9480
401	11043	9450
402	11066	9419
403	11093	9391
404	11120	9362
405	11143	9331
406	11171	9304
407	11197	9275
408	11223	9247
409	11251	9220
410	11277	9192
411	11304	9164
412	11329	9134
413	11352	9103
414	11376	9073
415	11400	9043
416	11425	9014
417	11452	8986
418	11479	8958
419	11505	8930
420	11531	8902
421	11559	8874
422	11584	8845
423	11609	8816
424	11638	8790
425	11667	8764
426	11693	8736
427	11720	8708
428	11745	8679
429	11771	8650
430	11797	8622
431	11824	8594
432	11851	8566
433	11876	8537
434	11901	8508
435	11926	8479
436	11954	8453
437	11981	8425
438	12012	8400
439	12043	8375
440	12069	8347
441	12095	8319
442	12122	8291
443	12150	8264
444	12173	8234
445	12200	8206
446	12227	8179
447	12254	8151
448	12280	8122
449	12306	8094
450	12331	8065
451	12357	8037
452	12384	8010
453	12410	7982
454	12437	7954
455	12463	7926
456	12486	7896
457	12512	7868
458	12539	7840
459	12566	7813
460	12596	7787
461	12623	7759
462	12648	7731
463	12674	7703
464	12700	7674
465	12727	7647
466	12754	7619
467	12781	7592
468	12808	7564
469	12834	7536
470	12860	7508
471	12886	7480
472	12912	7452
473	12938	7424
474	12965	7397
475	12989	7367
476	13012	7338
477	13034	7308
478	13056	7277
479	13080	7248
480	13103	7219
481	13126	7189
482	13152	7161
483	13178	7133
484	13205	7106
485	13232	7079
486	13259	7051
487	13286	7024
488	13311	6996
489	13337	6968
490	13364	6940
491	13389	6912
492	13415	6884
493	13439	6855
494	13463	6827
495	13486	6797
496	13509	6768
497	13535	6740
498	13562	6713
499	13589	6685
500	13613	6657
501	13639	6629
502	13666	6602
503	13691	6574
504	13717	6546
505	13745	6519
506	13773	6492
507	13801	6466
508	13826	6437
509	13852	6410
510	13879	6382
511	13906	6355
512	13935	6329
513	13960	6301
514	13987	6273
515	14013	6246
